Num,Name
030106001001001,禾本科羊茅属高羊茅
030106001002001,禾本科山羊草属具节山羊草
030106001003001,禾本科草属奇异草
030106001003002,禾本科草属金丝雀草
030106001003003,禾本科草属球茎草
030106001004001,禾本科狼尾草属狼尾草
030106001004002,禾本科狼尾草属御谷
030106001004003,禾本科狼尾草属美洲狼尾草
030106001005001,禾本科高粱属黑高粱
030106001005002,禾本科高粱属苏丹草
030106001005003,禾本科高粱属假高粱（及其杂交种）
030106001005004,禾本科高粱属糖高粱
030106001005005,禾本科高粱属高粱
030106001005006,禾本科高粱属黑高粱
030106001006001,禾本科狗尾草属金色狗尾草
030106001006002,禾本科狗尾草属狗尾草/狼尾草/谷莠子
030106001006003,禾本科狗尾草属莠狗尾草
030106001007001,禾本科狗牙根属狗牙草（狗牙根、绊根草）
030106001008001,禾本科野黍属野黍（发杉、拉拉草、唤猪草）
030106001008002,禾本科野黍属路易斯安纳野黍
030106001009001,禾本科燕麦属野燕麦（乌麦、燕麦、大蟹钩）
030106001009002,禾本科燕麦属不实野燕麦
030106001009003,禾本科燕麦属燕麦
030106001009004,禾本科燕麦属法国野燕麦
030106001009005,禾本科燕麦属细茎野燕麦
030106001009006,禾本科燕麦属毛燕麦
030106001010001,禾本科蒺藜草属刺蒺藜草
030106001010002,禾本科蒺藜草属长刺蒺藜草
030106001010003,禾本科蒺藜草属刺苞草/刺苞果
030106001010004,禾本科蒺藜草属疏花蒺藜草
030106001010005,禾本科蒺藜草属美洲蒺藜草
030106001010006,禾本科蒺藜草属印度蒺藜草
030106001010007,禾本科蒺藜草属少花蒺藜草
030106001010008,禾本科蒺藜草属水牛草
030106001011001,禾本科黑麦草属/毒麦属黑麦草
030106001011002,禾本科黑麦草属/毒麦属波斯黑麦草/欧黑麦草/欧毒麦
030106001011003,禾本科黑麦草属/毒麦属田毒麦
030106001011004,禾本科黑麦草属/毒麦属毒麦
030106001012001,禾本科黍属黍/稷
030106001012002,禾本科黍属糖稷/糠稷
030106001013001,禾本科雀稗属雀稗
030106001013002,禾本科雀稗属棕籽雀稗/粽子雀稗
030106001014001,禾本科燕麦草属 野燕麦
030106001015001,禾本科棒头草属棒头草
030106001016001,禾本科大麦属大麦
030106001016002,禾本科大麦属墙大麦
030106001017001,禾本科_属牛筋草
030106001018001,禾本科小麦/普通小麦
030106001019001,禾本科雀麦属黑雀麦
030106001019002,禾本科雀麦属雀麦（野雀麦）
030106001019003,禾本科雀麦属硬雀麦
030106001019004,禾本科雀麦属毛雀麦
030106001019005,禾本科雀麦属雀麦
030106001020001,禾本科偃麦草属偃麦草（速生草）
030106001021001,禾本科稗属稗（稗子、芒稗、野稗、湖南稗子）
030106001021002,禾本科稗属芒稷/光头稗子/光头稷/芒稗
030106001021003,禾本科稗属无芒稗/野稗/稗
030106001022001,禾本科马唐属马唐（假马唐、红水草、叉子草）
030202001001001,菊科苍耳属苍耳
030202001001002,菊科苍耳属刺苍耳
030202001001003,菊科苍耳属西方苍耳
030202001001004,菊科苍耳属意大利苍耳
030202001001005,菊科苍耳属北美苍耳
030202001001006,菊科苍耳属宾州苍耳
030202001001007,菊科苍耳属欧洲苍耳
030202001001008,菊科苍耳属平滑苍耳
030202001001009,菊科苍耳属南美苍耳
030202001001010,菊科苍耳属猥实苍耳/o实苍耳
030202001001011,菊科苍耳属直刺苍耳
030202001001012,菊科苍耳属沃氏苍耳
030202001001013,菊科苍耳属宾州苍耳
030202001002001,菊科莴苣属毒莴苣
030202001003001,菊科苦苣菜属苦苣菜（滇苦菜、苦荬菜）
030202001003002,菊科苦苣菜属续断菊（大叶苣荬菜）
030202001004001,菊科向日葵属向日葵
030202001005001,菊科蓟属田蓟
030202001006001,菊科豚草属豚草
030202001006002,菊科豚草属三裂叶豚草
030202001007001,菊科水飞蓟属水飞蓟（老鼠筋）
030202001008001,菊科鬼针草属鬼针草
030202001008002,菊科鬼针草属三叶鬼针草
030202001009001,菊科鳢肠属鳢肠
030202001010001,菊科蒲公英属蒲公英（苦菜、婆婆丁、黄花地丁）
030202001011001,菊科茼蒿属甘野菊
030202001012001,菊科春黄菊属臭甘菊（臭春黄菊）
030202001013001,菊科刺苞菊属刺苞果
030202001014001,菊科牛蒡属牛蒡
030202001015001,菊科泽兰属飞机草
030202001015002,菊科泽兰属紫茎泽兰
030202001015003,菊科泽兰属假臭草
030202001016001,菊科假苍耳属假苍耳
030202001017001,菊科大翅蓟属苏格兰刺蓟
030202001018001,菊科红花属红花（草红花）
030202001018002,菊科红花属黄花
030202001019001,菊科矢车菊属匍匐矢车菊
030202001019002,菊科矢车菊属矢车菊（蓝芙蓉）
030204001001001,大戟科齿裂大戟/锯齿大戟
030204001001002,大戟科戴维大戟
030204001001003,大戟科猩猩草
030204001001004,大戟科南欧大戟
030204001002001,大戟科腺巴豆
030204001003001,大戟科铁苋菜 
060102003001001,旋花科旋花属田旋花
060102003002001,旋花科菟丝子属田野菟丝子
060102003002002,旋花科菟丝子属日本菟丝子
060102003002003,旋花科菟丝子属南方菟丝子
060102003002004,旋花科菟丝子属中国菟丝子
060102003002005,旋花科菟丝子属亚麻菟丝子
060102003003001,旋花科甘薯属小白花牵牛
060102003003002,旋花科甘薯属圆叶牵牛
060102003003003,旋花科甘薯属裂叶牵牛
030214001001001,蓼科蓼属宾州蓼（宾夕法尼亚蓼）
030214001001002,蓼科蓼属红蓼（东方蓼、荭草、天蓼）
030214001001003,蓼科蓼属卷茎蓼（荞麦蔓）
030214001001004,蓼科蓼属夏蓼/酸模叶蓼
030214001001005,蓼科蓼属q蓄
030214001001006,蓼科蓼属春蓼
030214001001007,蓼科蓼属丛枝蓼
030214001002001,蓼科酸模属齿果酸模
030214001002002,蓼科酸模属酸模
030214001002003,蓼科酸模属巴天酸模
030214001003001,蓼科何首乌属卷茎蓼
030214001004001,蓼科荞麦属荞麦
030214001004002,蓼科荞麦属苦荞麦
030214001005001,蓼科刺酸模属南方三棘果
030214001005002,蓼科刺酸模属刺亦模
030214001006001,蓼科丁香蓼属丁香蓼
030209001001001,十字花科独行菜属北美独行菜
030209001002001,十字花科皱匕果芥属皱匕果芥
030209001003001,十字花科芸薹属地中海野芜菁
030209001003002,十字花科芸薹属芜菁
030209001004001,十字花科遏蓝菜属（菥q属）犁头菜(遏蓝菜、菥冥)
030209001005001,十字花科山芥属山芥
030209001006001,十字花科萝卜属野萝卜
030217003001001,豆科合萌属合萌
030217003002001,豆科决明属茳芒决明
030217003002002,豆科决明属决明（黄明子、决明子、马蹄决明、假绿豆
030217003002003,豆科决明属望江南（野扁豆、羊角豆、石决明
030217003002004,豆科决明属含羞草决明（敏感决明）
030217003003001,豆科链荚豆属链夹豆
030217003004001,豆科苜蓿属南苜蓿（金花菜、母齐头、磨盘草子）
030217003004002,豆科苜蓿属天蓝苜蓿（黑荚苜蓿\蓝苜蓿）
030217003004003,豆科苜蓿属小苜蓿
030217003004004,豆科苜蓿属紫苜蓿（紫花苜蓿、苜蓿）
030217003005001,豆科田菁属大果田菁（长果田青）
030217003005002,豆科田菁属田菁
030217003006001,豆科野豌豆属野豌豆
030217003007001,豆科鹰嘴豆属鹰嘴豆（回回豆、鸡豆）
030217003008001,豆科兵豆属兵豆
030217003009001,豆科羽扇豆属黄花羽扇豆（黄羽扇豆）
030217003010001,豆科猪屎豆属美丽猪屎豆
030217003010002,豆科猪屎豆属猪屎豆 （条纹猪屎豆、三圆叶猪屎豆、野黄豆、猪屎青）
030217003011001,豆科菜豆属绿豆
030217003011002,豆科菜豆属菜豆/芸豆
030217003012001,豆科草木犀属黄花草木犀
030217003013001,豆科车轴草属匍匐车轴草
030217003014001,豆科含羞草属含羞草
030205005001001,苋科莲子草属空心莲子草/水花生
030205005001002,苋科莲子草属凹头苋
030205005001003,苋科莲子草属莲子草/虾钳草
030205005002001,苋科牛膝属土牛膝
030205005003001,苋科苋属长芒苋
030205005003002,苋科苋属西部苋
030205005003003,苋科苋属糙果苋
030205005003004,苋科苋属反枝苋
030205005003005,苋科苋属刺苋
030205005003006,苋科苋属皱果苋
030205005003007,苋科苋属白苋
030205005004001,苋科青葙属青箱
030215001001001,车前科车前属车前（车前草、车轱辘菜）
030215001001002,车前科车前属长叶车前
060101003001001,唇形科鼬瓣花属铁莠草（丽鼬花、丽黄鼠狼花）
060101003002001,唇形科鼠尾草属日本鼠尾草
030227002001001,锦葵科锦葵属圆叶锦葵（土黄芪、野锦葵）
030227002001002,锦葵科锦葵属小花锦葵
030227002002001,锦葵科黄花稔属白背黄花稔（菱叶拔毒散、麻笔）
030227002002002,锦葵科黄花稔属刺黄花稔
030227002003001,锦葵科苘麻属苘麻（青麻、白麻）
030227002004001,锦葵科木槿属野西瓜苗（香铃草）
030227002005001,锦葵科阿洛葵属有距单花葵
060102001001001,茄科酸浆属酸浆(挂金灯)
060102001002001,茄科茄属水茄（刺茄）
060102001002002,茄科茄属刺茄(尖嘴茄、刺萼龙葵)
060102001002003,茄科茄属龙葵（天仙子、野海椒、苦葵、野椒虎）
060102001002004,茄科茄属北美刺龙葵
060102001003001,茄科曼陀罗属曼陀罗
060102001003002,茄科曼陀罗属紫花曼陀罗
060102001003003,茄科曼陀罗属白曼陀罗/白花曼陀罗
060102001003004,茄科曼陀罗属多刺曼陀罗/粗刺曼陀罗
060103001001001,紫草科鹤虱属鹤虱（欧洲拉菩拉）
060103001002001,紫草科紫草属紫草
060103001003001,紫草科牛舌草属小花牛舌草
060103001004001,紫草科琴颈草属道格拉斯琴颈草
060103001004002,紫草科琴颈草属中间型琴颈草
030225001001001,伞形科窃衣属窃衣/窃衣草
030225001002001,伞形科蛇床属蛇床
030225001003001,伞形科阿米芹属阿米/大阿米芹
030225001004001,伞形科宽叶高加利
030225001005001,伞形科野胡萝卜
